Item LC 116;Descrição Item;NBS;DESCRIÇÃO NBS;PS ONEROSA? (S/N);ADQ EXTERIOR? (S/N);INDOP;Local incidência IBS;cClassTrib;nome cClassTrib;;
01.01;Análise E Desenvolvimento De Sistemas.;1.1502.10.00;Serviços de projeto, desenvolvimento e instalação de aplicativos e programas não personalizados (não customizados) ;S;N;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;1.1502.20.00;Serviços de projeto e desenvolvimento, adaptação e instalação de aplicativos e programas personalizados (customizados) ;;;;;;;;
;;1.1502.40.00;Serviços de projeto e desenvolvimento de estruturas e conteúdo de bancos de dados ;;;;;;;;
;;1.1502.50.00;Serviços de integração de sistemas em tecnologia da informação (TI) ;;;;;;;;
;;1.1502.90.00;Serviços de projeto e desenvolvimento de aplicativos e programas em tecnologia da informação (TI) não classificados em subposições anteriores;;;;;;;;
;;;;;;;;200043;Fornecimento à administração pública dos serviços e dos bens relativos à soberania (Anexo XI);;
;;;;;;;;200044;Operações e prestações de serviços de segurança da informação e segurança cibernética desenvolvidos por sociedade que tenha sócio brasileiro (Anexo XI);;
;;1.1503.00.00;Serviços de projeto e desenvolvimento de redes em tecnologia da informação (TI) ;;;;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;1.1504.00.00;Serviços de projeto e desenvolvimento de topografias de circuitos integrados ;;;;;;;;
;;1.1505.00.00;Serviços de projeto de circuitos integrados ;;;;;;;;
;;1.1507.10.00;Serviços de gerenciamento de redes em tecnologia da informação (TI);;;;;;;;
;;1.1507.20.00;Serviços de gerenciamento de sistemas computacionais ;;;;;;;;
;;1.1507.90.00;Serviços de gerenciamento de infraestrutura em tecnologia da informação (TI) não classificados em subposições anteriores;;;;;;;;
01.02;Programação.;1.1502.10.00;Serviços de projeto, desenvolvimento e instalação de aplicativos e programas não personalizados (não customizados) ;S;N;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;1.1502.20.00;Serviços de projeto e desenvolvimento, adaptação e instalação de aplicativos e programas personalizados (customizados) ;;;;;;;;
;;1.1502.90.00;Serviços de projeto e desenvolvimento de aplicativos e programas em tecnologia da informação (TI) não classificados em subposições anteriores;;;;;;;;
;;;;;;;;200043;Fornecimento à administração pública dos serviços e dos bens relativos à soberania (Anexo XI);;
;;;;;;;;200044;Operações e prestações de serviços de segurança da informação e segurança cibernética desenvolvidos por sociedade que tenha sócio brasileiro (Anexo XI);;
01.03;Processamento, Armazenamento Ou Hospedagem De Dados, Textos, Imagens, Vídeos, Páginas Eletrônicas, Aplicativos E Sistemas De Informação, Entre Outros Formatos, E Congêneres. (Redação Dada Pela Lei Complementar Nº 157, De 2016);1.1506.10.00;Serviços de hospedagem de sítios eletrônicos na rede mundial de computadores ;S;N;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;1.1506.21.00;Serviços de hospedagem de aplicativos e programas software como serviço (SaaS);;;;;;;;
;;1.1506.22.00;Serviços de fornecimento de infraestrutura como serviço (IaaS);;;;;;;;
;;1.1506.23.00;Serviços de fornecimento de plataformas como serviço (PaaS);;;;;;;;
;;1.1506.29.00;Serviços de hospedagem de aplicativos e programas não classificados em subposições anteriores;;;;;;;;
;;1.1506.90.00;Serviços de hospedagem e de disponibilização de infraestrutura em tecnologia da informação (TI) não classificados em subposições anteriores;;;;;;;;
;;1.1509.00.00;Serviços de processamento de dados ;;;;;;;;
01.04;Elaboração De Programas De Computadores, Inclusive De Jogos Eletrônicos, Independentemente Da Arquitetura Construtiva Da Máquina Em Que O Programa Será Executado, Incluindo Tablets, Smartphones E Congêneres. (Redação Dada Pela Lei Complementar Nº 157, De 2016);1.1502.10.00;Serviços de projeto, desenvolvimento e instalação de aplicativos e programas não personalizados (não customizados) ;S;N;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;1.1502.20.00;Serviços de projeto e desenvolvimento, adaptação e instalação de aplicativos e programas personalizados (customizados) ;;;;;;;;
;;1.1502.90.00;Serviços de projeto e desenvolvimento de aplicativos e programas em tecnologia da informação (TI) não classificados em subposições anteriores;;;;;;;;
;;;;;;;;200043;Fornecimento à administração pública dos serviços e dos bens relativos à soberania (Anexo XI);;
;;;;;;;;200044;Operações e prestações de serviços de segurança da informação e segurança cibernética desenvolvidos por sociedade que tenha sócio brasileiro (Anexo XI);;
01.05;Licenciamento Ou Cessão De Direito De Uso De Programas De Computação.;1.1103.21.00;Licenciamento de direitos de produção, distribuição ou comercialização de programas de computador (software);S;N;100501;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;1.1103.22.00;Licenciamento de direitos de uso de programas de computador (software);;;;;;;;
;;1.1103.23.00;Licenciamento de direitos sobre bancos de dados;;;;;;;;
;;1.1103.29.00;Licenciamento de direitos sobre programas de computador (software) e bancos de dados não classificado em subposições anteriores;;;;;;;;
;;1.1106.20.00;Cessão temporária de direitos sobre programas de computador (software);;;;;;;;
;;1.1107.20.00;Cessão definitiva de direitos sobre programas de computador (software);;;;;;;;
