CÓDIGO DE TRIBUTAÇÃO NACIONAL;ITEM;SUBITEM;DESDOBRO NACIONAL;DESCRIÇÃO
;01;00;00;Serviços de Informática e congêneres.
;01;01;00;Análise e desenvolvimento de sistemas.
010101;01;01;01;Análise e desenvolvimento de sistemas.
;01;02;00;Programação.
010201;01;02;01;Programação.
;01;03;00;Processamento, armazenamento ou hospedagem de dados, textos, imagens, vídeos, páginas eletrônicas, aplicativos e sistemas de informação, entre outros formatos, e congêneres.
010301;01;03;01;Processamento de dados, textos, imagens, vídeos, páginas eletrônicas, aplicativos e sistemas de informação, entre outros formatos, e congêneres.
010302;01;03;02;Armazenamento ou hospedagem de dados, textos, imagens, vídeos, páginas eletrônicas, aplicativos e sistemas de informação, entre outros formatos, e congêneres.
;01;04;00;Elaboração de programas de computadores, inclusive de jogos eletrônicos, independentemente da arquitetura construtiva da máquina em que o programa será executado, incluindo tablets, smartphones e congêneres.
010401;01;04;01;Elaboração de programas de computadores, inclusive de jogos eletrônicos, independentemente da arquitetura construtiva da máquina em que o programa será executado, incluindo tablets, smartphones e congêneres.
;01;05;00;Licenciamento ou cessão de direito de uso de programas de computação.
010501;01;05;01;Licenciamento ou cessão de direito de uso de programas de computação.
;01;06;00;Assessoria e consultoria em informática.
010601;01;06;01;Assessoria e consultoria em informática.
;01;07;00;Suporte técnico em informática, inclusive instalação, configuração e manutenção de programas de computação e bancos de dados.
010701;01;07;01;Suporte técnico em informática, inclusive instalação, configuração e manutenção de programas de computação e bancos de dados.
;01;08;00;Planejamento, confecção, manutenção e atualização de páginas eletrônicas.
010801;01;08;01;Planejamento, confecção, manutenção e atualização de páginas eletrônicas.
;01;09;00;Disponibilização, sem cessão definitiva, de conteúdos de áudio, vídeo, imagem e texto por meio da internet, respeitada a imunidade de livros, jornais e periódicos (exceto a distribuição de conteúdos pelas prestadoras de Serviço de Acesso Condicionado, de que trata a Lei nº 12.485, de 12 de setembro de 2011, sujeita ao ICMS).
010901;01;09;01;Disponibilização, sem cessão definitiva, de conteúdos de áudio por meio da internet (exceto a distribuição de conteúdos pelas prestadoras de Serviço de Acesso Condicionado, de que trata a Lei nº 12.485, de 12 de setembro de 2011, sujeita ao ICMS).
010902;01;09;02;Disponibilização, sem cessão definitiva, de conteúdos de vídeo, imagem e texto por meio da internet, respeitada a imunidade de livros, jornais e periódicos (exceto a distribuição de conteúdos pelas prestadoras de Serviço de Acesso Condicionado, de que trata a Lei nº 12.485, de 12 de setembro de 2011, sujeita ao ICMS).
;02;00;00;Serviços de pesquisas e desenvolvimento de qualquer natureza.
;02;01;00;Serviços de pesquisas e desenvolvimento de qualquer natureza.
020101;02;01;01;Serviços de pesquisas e desenvolvimento de qualquer natureza.
;03;00;00;Serviços prestados mediante locação, cessão de direito de uso e congêneres.
;03;02;00;Cessão de direito de uso de marcas e de sinais de propaganda.
030201;03;02;01;Cessão de direito de uso de marcas e de sinais de propaganda.
;03;03;00;Exploração de salões de festas, centro de convenções, escritórios virtuais, stands, quadras esportivas, estádios, ginásios, auditórios, casas de espetáculos, parques de diversões, canchas e congêneres, para realização de eventos ou negócios de qualquer natureza.
030301;03;03;01;Exploração de salões de festas, centro de convenções, stands e congêneres, para realização de eventos ou negócios de qualquer natureza.
030302;03;03;02;Exploração de escritórios virtuais e congêneres, para realização de eventos ou negócios de qualquer natureza.
030303;03;03;03;Exploração de quadras esportivas, estádios, ginásios, canchas e congêneres, para realização de eventos ou negócios de qualquer natureza.
030304;03;03;04;Exploração de auditórios, casas de espetáculos e congêneres, para realização de eventos ou negócios de qualquer natureza.
030305;03;03;05;Exploração de parques de diversões e congêneres, para realização de eventos ou negócios de qualquer natureza.
;03;04;00;Locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de ferrovia, rodovia, postes, cabos, dutos e condutos de qualquer natureza.
030401;03;04;01;Locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de ferrovia.
030402;03;04;02;Locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de rodovia.
030403;03;04;03;Locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de postes, cabos, dutos e condutos de qualquer natureza.
;03;05;00;Cessão de andaimes, palcos, coberturas e outras estruturas de uso temporário.
030501;03;05;01;Cessão de andaimes, palcos, coberturas e outras estruturas de uso temporário.
;04;00;00;Serviços de saúde, assistência médica e congêneres.
;04;01;00;Medicina e biomedicina.
040101;04;01;01;Medicina.
040102;04;01;02;Biomedicina.
;04;02;00;Análises clínicas, patologia, eletricidade médica, radioterapia, quimioterapia, ultra-sonografia, ressonância magnética, radiologia, tomografia e congêneres.
040201;04;02;01;Análises clínicas e congêneres.
040202;04;02;02;Patologia e congêneres.
040203;04;02;03;Eletricidade médica (eletroestimulação de nervos e musculos, cardioversão, etc) e congêneres.
040204;04;02;04;Radioterapia, quimioterapia e congêneres.
040205;04;02;05;Ultra-sonografia, ressonância magnética, radiologia, tomografia e congêneres.
;04;03;00;Hospitais, clínicas, laboratórios, sanatórios, manicômios, casas de saúde, prontos-socorros, ambulatórios e congêneres.
040301;04;03;01;Hospitais e congêneres.
040302;04;03;02;Laboratórios e congêneres.
040303;04;03;03;Clínicas, sanatórios, manicômios, casas de saúde, prontos-socorros, ambulatórios e congêneres.
;04;04;00;Instrumentação cirúrgica.
040401;04;04;01;Instrumentação cirúrgica.
;04;05;00;Acupuntura.
040501;04;05;01;Acupuntura.
;04;06;00;Enfermagem, inclusive serviços auxiliares.
040601;04;06;01;Enfermagem, inclusive serviços auxiliares.
;04;07;00;Serviços farmacêuticos.
040701;04;07;01;Serviços farmacêuticos.
;04;08;00;Terapia ocupacional, fisioterapia e fonoaudiologia.
040801;04;08;01;Terapia ocupacional.
040802;04;08;02;Fisioterapia.
040803;04;08;03;Fonoaudiologia.
;04;09;00;Terapias de qualquer espécie destinadas ao tratamento físico, orgânico e mental.
040901;04;09;01;Terapias de qualquer espécie destinadas ao tratamento físico, orgânico e mental.
;04;10;00;Nutrição.
041001;04;10;01;Nutrição.
;04;11;00;Obstetrícia.
041101;04;11;01;Obstetrícia.
;04;12;00;Odontologia.
041201;04;12;01;Odontologia.
;04;13;00;Ortóptica.
041301;04;13;01;Ortóptica.
;04;14;00;Próteses sob encomenda.
041401;04;14;01;Próteses sob encomenda.
;04;15;00;Psicanálise.
041501;04;15;01;Psicanálise.
;04;16;00;Psicologia.
041601;04;16;01;Psicologia.
;04;17;00;Casas de repouso e de recuperação, creches, asilos e congêneres.
041701;04;17;01;Casas de repouso e congêneres.
041702;04;17;02;Casas de recuperação e congêneres.
041703;04;17;03;Creches e congêneres.
041704;04;17;04;Asilos e congêneres.
;04;18;00;Inseminação artificial, fertilização in vitro e congêneres.
041801;04;18;01;Inseminação artificial, fertilização in vitro e congêneres.
;04;19;00;Bancos de sangue, leite, pele, olhos, óvulos, sêmen e congêneres.
041901;04;19;01;Bancos de sangue, leite, pele, olhos, óvulos, sêmen e congêneres.
;04;20;00;Coleta de sangue, leite, tecidos, sêmen, órgãos e materiais biológicos de qualquer espécie.
042001;04;20;01;Coleta de sangue, leite, tecidos, sêmen, órgãos e materiais biológicos de qualquer espécie.
;04;21;00;Unidade de atendimento, assistência ou tratamento móvel e congêneres.
042101;04;21;01;Unidade de atendimento, assistência ou tratamento móvel e congêneres.
;04;22;00;Planos de medicina de grupo ou individual e convênios para prestação de assistência médica, hospitalar, odontológica e congêneres.
042201;04;22;01;Planos de medicina de grupo ou individual e convênios para prestação de assistência médica, hospitalar, odontológica e congêneres.
;04;23;00;Outros planos de saúde que se cumpram através de serviços de terceiros contratados, credenciados, cooperados ou apenas pagos pelo operador do plano mediante indicação do beneficiário.
042301;04;23;01;Outros planos de saúde que se cumpram através de serviços de terceiros contratados, credenciados, cooperados ou apenas pagos pelo operador do plano mediante indicação do beneficiário.
;05;00;00;Serviços de medicina e assistência veterinária e congêneres.
;05;01;00;Medicina veterinária e zootecnia.
050101;05;01;01;Medicina veterinária
050102;05;01;02;Zootecnia.
;05;02;00;Hospitais, clínicas, ambulatórios, prontos-socorros e congêneres, na área veterinária.
050201;05;02;01;Hospitais e congêneres, na área veterinária.
050202;05;02;02;Clínicas, ambulatórios, prontos-socorros e congêneres, na área veterinária.
;05;03;00;Laboratórios de análise na área veterinária.
050301;05;03;01;Laboratórios de análise na área veterinária.
;05;04;00;Inseminação artificial, fertilização in vitro e congêneres.
050401;05;04;01;Inseminação artificial, fertilização in vitro e congêneres.
;05;05;00;Bancos de sangue e de órgãos e congêneres.
050501;05;05;01;Bancos de sangue e de órgãos e congêneres.
;05;06;00;Coleta de sangue, leite, tecidos, sêmen, órgãos e materiais biológicos de qualquer espécie.
050601;05;06;01;Coleta de sangue, leite, tecidos, sêmen, órgãos e materiais biológicos de qualquer espécie.
;05;07;00;Unidade de atendimento, assistência ou tratamento móvel e congêneres.
